Model,R2_mean,R2_std,MAE_mean,MAE_std,MSE_mean,MSE_std
RandomForest,0.5096840737916006,0.032192158102601974,8455.020669543703,278.15376882041807,256448337.74919614,31472251.639119003
XGBoost,0.5036343010013342,0.026587687435164552,8668.018413816942,165.42052129467203,259662734.4197542,30389732.63574369
GradientBoosting,0.482376049490678,0.026305228798944084,9139.083389384283,220.43882932421798,270923264.6540895,32436768.356030703
Lasso,0.09278682028615466,0.07510446027492396,14312.423232954554,976.765241794478,474959378.0591999,66764932.76965088
Ridge,0.09178258730059193,0.07555721634380243,14317.108012155852,988.0556311919049,475496227.64781874,67034636.68711984
LinearRegression,0.09174283885335717,0.07561567596412912,14317.506354302875,988.2302972045142,475518495.119699,67068424.96851964
