Model,R2_mean,R2_std,MAE_mean,MAE_std,MSE_mean,MSE_std
RandomForest,0.5131493359631614,0.031065352458940196,8431.06572281036,258.0868138235664,254821342.73107415,32057448.963387046
XGBoost,0.5050022435003356,0.02700186517955362,8642.9019695019,184.1235374935252,259090830.3114995,31234253.727068406
GradientBoosting,0.4816285820135125,0.025836887010471994,9156.189276224166,218.6612459210956,271411063.6733573,32709933.89103037
Lasso,0.09131143617765491,0.07681236959862271,14323.394436555714,994.9382210270662,475934855.39756525,68310019.20028365
Ridge,0.09026906600542181,0.07729716670631587,14328.33414794772,1006.5511762681173,476493485.64311993,68605218.59214991
LinearRegression,0.09022511613618678,0.07736368159260959,14328.776143526955,1006.7163982622134,476518323.86630344,68644812.47576247
